task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,execution_time,generation_status,generation_error_type,generation_error_message,generation_attempts
HumanEval/152,baseline,gemma-4-26b:zero_shot,13,0,0,13,1.0,100.0,100.0,0.0,2.33,77.02,4.0,0.456,16,2,4,0.0,0.783,291,789,5866,151.82,ok,,,1
HumanEval/162,adversarial,gemma-4-26b:scot,9,5,0,14,0.643,100.0,100.0,0.0,1.75,71.54,4.55,0.22,7,1,5,0.0,0.717,211,1034,2460,363.23,ok,,,1
HumanEval/145,baseline,gemma-4-26b:zero_shot,15,3,0,18,0.833,100.0,100.0,0.0,2.0,93.3,3.0,0.25,4,0,4,0.0,0.55,639,3367,20851,367.28,ok,,,1
HumanEval/142,baseline,gemma-4-26b:zero_shot,18,0,0,18,1.0,100.0,100.0,0.0,2.0,79.42,3.74,0.295,9,2,4,0.0,0.758,226,1445,5546,438.63,ok,,,1
HumanEval/157,consensus,gemma-4-26b:zero_shot,33,6,0,39,0.846,100.0,100.0,0.0,1.5,100.0,5.82,0.306,1,0,4,0.0,0.475,4428,6663,43834,1335.68,ok,,,1
HumanEval/158,hybrid,gemma-4-26b:scot,0,0,1,1,0.0,,,0.0,4.17,72.44,5.13,0.214,21,2,5,0.0,0.833,7348,6071,57816,1424.54,ok,,,1
HumanEval/147,consensus,gemma-4-26b:few_shot,14,0,0,14,1.0,100.0,100.0,0.0,2.29,79.99,3.53,0.341,6,0,4,0.0,0.6,6831,6811,46346,2171.49,ok,,,1
HumanEval/155,adversarial,gemma-4-26b:few_shot,15,2,0,17,0.882,85.19,100.0,0.0,1.75,88.16,4.91,0.193,5,1,5,0.0,0.667,292,1017,2178,1897.68,ok,,,1
HumanEval/155,hybrid,gemma-4-26b:scot,17,1,0,18,0.944,93.94,100.0,0.0,1.86,84.06,5.0,0.166,8,0,5,0.0,0.7,1895,2564,6526,2126.18,ok,,,1
HumanEval/152,actor_critic,gemma-4-26b:few_shot,14,2,0,16,0.875,94.29,94.0,0.0,2.0,75.28,6.62,0.333,17,2,6,0.0,0.833,1151,357,5016,1794.77,ok,,,1
HumanEval/160,consensus,gemma-4-26b:zero_shot,0,0,0,0,0,22.22,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,3638,0,36403,2879.26,ok,,,1
HumanEval/154,actor_critic,gemma-4-26b:zero_shot,0,0,0,0,0,11.11,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,223,24,33552,2779.59,ok,,,1
HumanEval/150,consensus,gemma-4-26b:few_shot,24,0,0,24,1.0,100.0,100.0,0.25,4.67,77.21,5.2,0.041,19,2,4,0.0,0.783,2699,3230,12845,3012.76,ok,,,1
HumanEval/162,actor_critic,gemma-4-26b:few_shot,0,18,0,18,0.0,57.14,0.0,0.0,2.0,85.9,4.18,0.06,8,2,4,0.0,0.733,3717,7411,35381,3455.57,ok,,,1
HumanEval/150,baseline,gemma-4-26b:few_shot,8,0,0,8,1.0,100.0,100.0,0.5,4.6,76.48,4.6,0.051,38,3,4,0.0,0.825,326,770,3153,373.32,ok,,,1
HumanEval/150,hybrid,gemma-4-26b:scot,26,0,0,26,1.0,100.0,100.0,0.5,2.83,79.17,5.6,0.038,16,1,4,0.0,0.742,1913,2784,7668,2163.56,ok,,,1
HumanEval/148,adversarial,gemma-4-26b:few_shot,29,0,0,29,1.0,100.0,100.0,0.25,2.33,94.5,2.62,0.024,8,0,4,0.0,0.65,698,2154,8101,1293.15,ok,,,1
HumanEval/158,actor_critic,gemma-4-26b:few_shot,7,1,0,8,0.875,100.0,100.0,0.0,2.88,77.78,3.07,0.027,15,2,3,0.0,0.733,2200,869,16298,833.74,ok,,,1
HumanEval/139,consensus,gemma-4-26b:zero_shot,9,1,0,10,0.9,87.1,100.0,0.0,1.75,69.05,2.33,0.053,9,2,5,0.0,0.808,1735,3516,7343,3757.49,ok,,,1
HumanEval/140,hybrid,gemma-4-26b:scot,0,30,0,30,0.0,40.0,0.0,0.0,2.0,82.04,3.71,0.04,77,1,5,0.0,0.792,2287,4157,19141,2010.02,ok,,,1
HumanEval/149,hybrid,gemma-4-26b:zero_shot,16,2,0,18,0.889,63.64,0.0,0.0,2.33,89.67,2.19,0.054,2,0,4,0.0,0.5,1888,777,6342,1980.89,ok,,,1
HumanEval/141,consensus,gemma-4-26b:zero_shot,0,0,0,0,0,10.0,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,4512,2943,71699,3630.8,ok,,,1
HumanEval/147,actor_critic,gemma-4-26b:zero_shot,0,12,0,12,0.0,70.83,0.0,0.0,2.0,81.23,3.06,0.039,2,0,4,0.0,0.5,1214,388,7564,4402.07,ok,,,1
HumanEval/145,hybrid,gemma-4-26b:scot,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1.0,0,596,1385,3136,1416.69,error,unknown_error,[Errno -2] Name or service not known,1
HumanEval/141,baseline,gemma-4-26b:scot,0,0,0,0,0,10.0,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,364,0,33129,1606.02,ok,,,1
HumanEval/143,adversarial,gemma-4-26b:scot,12,1,0,13,0.923,100.0,100.0,0.0,2.38,79.11,2.55,0.026,8,0,4,0.0,0.65,509,1528,7437,1509.38,ok,,,1
HumanEval/151,hybrid,gemma-4-26b:scot,17,0,0,17,1.0,100.0,100.0,0.0,2.5,80.99,4.0,0.082,6,0,4,0.0,0.6,2589,32955,40146,2776.18,ok,,,1
HumanEval/161,hybrid,gemma-4-26b:few_shot,32,0,0,32,1.0,100.0,100.0,0.667,2.0,98.36,3.05,0.068,3,0,4,0.0,0.525,2464,2743,16282,2385.82,ok,,,1
HumanEval/145,baseline,gemma-4-26b:few_shot,5,3,0,8,0.625,100.0,100.0,0.0,2.12,67.22,2.55,0.079,9,2,3,0.0,0.708,645,1697,11036,1010.61,ok,,,1
HumanEval/156,hybrid,gemma-4-26b:scot,38,1,0,39,0.974,100.0,100.0,0.0,2.0,73.12,3.68,0.041,8,0,4,0.0,0.65,64215,3847,79673,2943.77,ok,,,1
HumanEval/151,adversarial,gemma-4-26b:scot,0,17,0,17,0.0,47.06,33.33,0.0,2.5,78.71,4.67,0.044,4,0,4,0.0,0.55,272,1603,4424,2626.37,ok,,,1
HumanEval/143,adversarial,gemma-4-26b:zero_shot,27,3,0,30,0.9,100.0,100.0,0.0,2.33,82.05,4.3,0.036,5,0,4,0.0,0.575,430,1389,8643,1678.73,ok,,,1
HumanEval/160,consensus,gemma-4-26b:scot,0,0,0,0,0,22.22,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,3368,0,36133,4624.7,ok,,,1
HumanEval/150,actor_critic,gemma-4-26b:scot,28,2,0,30,0.933,100.0,100.0,0.0,1.8,82.97,5.8,0.056,10,0,5,0.0,0.75,2743,2439,16264,2046.65,ok,,,1
HumanEval/143,adversarial,gemma-4-26b:few_shot,17,0,0,17,1.0,100.0,100.0,0.667,2.12,78.06,3.3,0.028,4,1,4,0.0,0.592,1330,2090,41458,1705.82,ok,,,1
HumanEval/159,baseline,gemma-4-26b:scot,21,0,0,21,1.0,100.0,100.0,0.0,2.0,55.8,1.79,0.023,7,0,4,0.0,0.625,2927,4438,51271,1139.66,ok,,,1
HumanEval/151,adversarial,gemma-4-26b:few_shot,0,18,0,18,0.0,46.43,0.0,0.0,2.0,86.09,3.2,0.085,3,0,4,0.0,0.525,1069,3030,12959,1193.15,ok,,,1
HumanEval/145,baseline,gemma-4-26b:scot,12,3,0,15,0.8,100.0,100.0,0.0,2.0,82.94,3.6,0.037,2,1,4,0.0,0.542,1790,2112,44452,857.39,ok,,,1
HumanEval/158,hybrid,gemma-4-26b:few_shot,15,1,0,16,0.938,91.18,100.0,0.0,4.0,78.46,4.27,0.042,16,1,4,0.0,0.742,2991,4104,14824,2469.74,ok,,,1
HumanEval/154,consensus,gemma-4-26b:few_shot,0,0,0,0,0,11.11,0.0,0.0,0,100.0,0.0,0.0,0,0,0,1.0,0.0,3585,1094,78182,5632.56,ok,,,1
HumanEval/163,actor_critic,gemma-4-26b:scot,20,0,0,20,1.0,100.0,100.0,0.5,2.0,91.23,3.55,0.046,6,1,4,0.0,0.642,948,1473,7467,2971.47,ok,,,1
HumanEval/154,actor_critic,gemma-4-26b:few_shot,7,0,0,7,1.0,100.0,100.0,0.75,4.14,66.87,2.41,0.107,27,1,3,0.0,0.692,1491,2943,16573,5486.16,ok,,,1
HumanEval/160,hybrid,gemma-4-26b:zero_shot,33,1,0,34,0.971,74.07,50.0,0.0,2.2,86.16,2.58,0.075,10,1,4,0.0,0.742,3392,3628,14249,1795.95,ok,,,1
HumanEval/146,actor_critic,gemma-4-26b:few_shot,11,0,0,11,1.0,100.0,100.0,0.5,2.12,80.01,3.69,0.103,10,1,4,0.0,0.742,843,2,8321,3631.51,ok,,,1
HumanEval/141,adversarial,gemma-4-26b:zero_shot,32,0,0,32,1.0,100.0,100.0,0.25,1.5,98.82,2.55,0.074,4,2,5,0.0,0.683,274,808,2464,1540.91,ok,,,1
HumanEval/148,actor_critic,gemma-4-26b:few_shot,9,0,0,9,1.0,100.0,100.0,0.0,4.14,67.91,2.29,0.009,20,1,4,0.0,0.742,706,198,4439,3290.85,ok,,,1
